"filename", "language", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\ModeToggle.jsx", "JavaScript", 37, 0, 0, 0, 4, 41
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\NavBar.jsx", "JavaScript", 337, 0, 0, 10, 15, 362
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\NavBarScrollProgress.jsx", "JavaScript", 17, 0, 0, 0, 5, 22
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\PlantBolbContainer.jsx", "JavaScript", 26, 0, 0, 0, 2, 28
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\ProjectCard.jsx", "JavaScript", 45, 0, 0, 19, 2, 66
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\ProjectsNavigation.jsx", "JavaScript", 158, 0, 0, 0, 7, 165
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\Scrolly.jsx", "JavaScript", 160, 0, 0, 6, 14, 180
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\TasksContent.jsx", "JavaScript", 5, 0, 0, 0, 4, 9
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\Testimonials.jsx", "JavaScript", 26, 0, 0, 0, 4, 30
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\WordspaceReactiveCards.jsx", "JavaScript", 70, 0, 0, 4, 12, 86
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\WorkSpaceCards.jsx", "JavaScript", 148, 0, 0, 34, 10, 192
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\WorkspaceCharts.jsx", "JavaScript", 205, 0, 0, 0, 14, 219
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\WorkspaceDynamicProjectsInput.jsx", "JavaScript", 36, 0, 0, 0, 6, 42
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\WorkspaceSideBar.jsx", "JavaScript", 190, 0, 0, 0, 5, 195
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\WorkspaceTable.jsx", "JavaScript", 361, 0, 0, 0, 6, 367
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\WorkspaceTestClientComp.jsx", "JavaScript", 29, 0, 0, 0, 6, 35
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\layout\WorkspaceUserInfoLoader.jsx", "JavaScript", 24, 0, 0, 0, 6, 30
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\ImageContainer.jsx", "JavaScript", 23, 0, 0, 19, 4, 46
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\avatar.jsx", "JavaScript", 35, 0, 0, 69, 9, 113
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\badge.jsx", "JavaScript", 34, 0, 0, 44, 2, 80
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\button.jsx", "JavaScript", 94, 0, 0, 37, 6, 137
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\card.jsx", "JavaScript", 42, 0, 0, 0, 9, 51
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\checkbox.jsx", "JavaScript", 20, 0, 0, 0, 5, 25
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\dialog.jsx", "JavaScript", 83, 0, 0, 0, 14, 97
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\dropdown-menu.jsx", "JavaScript", 139, 0, 0, 0, 19, 158
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\input.jsx", "JavaScript", 78, 0, 0, 36, 10, 124
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\navigation-menu.jsx", "JavaScript", 94, 0, 0, 0, 13, 107
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\scroll-area.jsx", "JavaScript", 35, 0, 0, 0, 6, 41
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\searchBar.jsx", "JavaScript", 9, 0, 0, 0, 6, 15
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\separator.jsx", "JavaScript", 21, 0, 0, 0, 5, 26
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\table.jsx", "JavaScript", 73, 0, 0, 0, 11, 84
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\textDisplayWIthTitle.jsx", "JavaScript", 27, 0, 0, 45, 7, 79
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\titleContainer.jsx", "JavaScript", 17, 0, 0, 40, 1, 58
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\titleDisplayWithButton.jsx", "JavaScript", 20, 0, 0, 22, 3, 45
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\toast.jsx", "JavaScript", 72, 0, 0, 0, 11, 83
